 programing information: 

 (Feb 14 2015  16:47:49) 
 version: 

randomValue: 395450739 
randomValue: 1014660167 
randomValue: 545922427 
randomValue: 574811719 
randomValue: 422050835 
randomValue: 676400279 
randomValue: 301435147 
randomValue: 499316767 
randomValue: 1043127647 
randomValue: 799195 
randomValue: 602925067 
randomValue: 852306691 
randomValue: 100081979 
randomValue: 983858059 
randomValue: 141623327 
randomValue: 53695 
randomValue: 536843551 
randomValue: 889884063 
randomValue: 149516203 
randomValue: 416630739 
randomValue: 205762631 
randomValue: 600921683 
randomValue: 633619419 
randomValue: 627773111 
randomValue: 687197395 
randomValue: 150490191 
randomValue: 546745331 
randomValue: 554078867 
randomValue: 789808075 
randomValue: 911474107 
randomValue: 28985131 
randomValue: 982933995 
randomValue: 261766299 
randomValue: 1065310679 
randomValue: 295880699 
randomValue: 288302707 
randomValue: 910935675 
randomValue: 309135999 
randomValue: 405544927 
randomValue: 35200467 
randomValue: 436385663 
randomValue: 882962943 
randomValue: 718260579 
randomValue: 708520279 
randomValue: 671666355 
randomValue: 693624071 
randomValue: 5784543 
randomValue: 914971779 
randomValue: 539310331 
randomValue: 248225351 
randomValue: 981289787 
randomValue: 676007827 
randomValue: 47407003 
randomValue: 744636103 
randomValue: 651834999 
randomValue: 850822431 
randomValue: 155410487 
randomValue: 92477079 
randomValue: 451417675 
randomValue: 958885503 
randomValue: 248223035 
randomValue: 977926347 
randomValue: 884075479 
randomValue: 381401147 
randomValue: 699019271 
randomValue: 638699479 
randomValue: 864399123 
randomValue: 1016957887 
randomValue: 641880587 
randomValue: 160345795 
randomValue: 1034703031 
randomValue: 500367955 
randomValue: 119215287 
randomValue: 647408987 
randomValue: 757618663 
randomValue: 733708479 
randomValue: 232277875 
randomValue: 1065550415 
randomValue: 570678471 
randomValue: 622108763 
randomValue: 1027674879 
randomValue: 912626235 
randomValue: 240456927 
randomValue: 159864663 
randomValue: 569033759 
randomValue: 281890879 
randomValue: 506816575 
randomValue: 1000176131 
randomValue: 1028489395 
randomValue: 1038279975 
randomValue: 891767127 
randomValue: 110764203 
randomValue: 549141439 
randomValue: 579187383 
randomValue: 583113031 
randomValue: 861591303 
randomValue: 1059958695 
randomValue: 80472659 
randomValue: 747196227 
randomValue: 279034387 
randomValue: 534528519 
randomValue: 497683763 
randomValue: 353599879 
randomValue: 866158043 
randomValue: 8700327 
randomValue: 586845947 
randomValue: 499580359 
randomValue: 319141667 
randomValue: 958612623 
randomValue: 803385387 
randomValue: 995764339 
randomValue: 573900747 
randomValue: 392270591 
randomValue: 273737915 
randomValue: 63631311 
randomValue: 470668543 
randomValue: 775397939 
randomValue: 427091415 
randomValue: 539240011 
randomValue: 808336319 
randomValue: 781792211 
randomValue: 392005267 
randomValue: 1032048327 
randomValue: 432050983 
randomValue: 371409795 
randomValue: 79926239 
randomValue: 778048475 
randomValue: 481932763 
randomValue: 901815027 
randomValue: 352924839 
randomValue: 380799623 
randomValue: 591981463 
randomValue: 702022359 
randomValue: 1065699447 
randomValue: 591580231 
randomValue: 109754231 
randomValue: 124038547 
randomValue: 516207651 
randomValue: 837669079 
randomValue: 554092359 
randomValue: 371462999 
randomValue: 687944707 
randomValue: 742026695 
